0 0 1 1 0 0
0 0 0 0 0 0
0 0 0 0 0 0
31 0 2 4 0 0
31 0 2 6 0 0
31 0 3 1 0 0
0 0 0 0 0 0
0 0 0 0 0 0
31 0 4 1 0 0
0 0 0 0 0 0
31 0 5 1 0 0
0 0 0 0 0 0
0 0 0 0 0 0
0 0 0 0 0 0
31 0 6 1 0 0
0 0 0 0 0 0
0 0 0 0 0 0
31 0 7 1 0 0
0 0 0 0 0 0
31 0 8 1 0 0
0 0 0 0 0 0
0 0 0 0 0 0
6323 1109 23 18 2 0
6323 0 24 1 2 0
0 0 0 0 0 0
380861 14207 279 239 9 0
1088366 26951 753 775 15 0
201380 46322 201 977 12 0
114032 58487 94 1055 5 0
135141 73489 129 1175 10 0
106608 86247 122 1304 7 0
388975 11569 344 195 14 0
890547 33107 723 254 20 0
264798 56190 227 369 4 0
385181 15963 349 103 5 0
54095 33004 72 153 1 0
33526 36052 54 217 8 0
55976 37870 51 266 2 0
170848 52011 159 421 6 0
713574 93249 614 940 37 0
498258 147213 415 1368 17 0
433134 198756 367 1696 19 0
144144 227202 141 1856 16 0
481478 256718 389 2190 8 0
609252 25702 545 196 29 0
49559 41406 89 298 7 0
59539 59922 72 392 5 0
88213 67471 94 490 7 0
207080 100656 200 668 12 0
291572 122015 244 837 9 0
188817 149123 179 1027 7 0
49246 149580 45 1070 0 0
76848 8298 94 76 15 0
55491 15237 108 199 10 0
215493 15878 332 265 34 0
288798 34538 238 502 16 0
178192 50795 156 690 8 0
946520 25230 659 334 16 0
994856 34826 616 586 5 0
1013911 5213 653 45 8 0
1053962 6847 725 85 17 0
1080935 8036 783 80 24 0
1167319 28564 890 117 31 0
1255827 16490 1023 173 43 0
116672 26288 159 313 6 0
104202 27732 92 368 1 0
112273 1181 116 29 3 0
120909 4999 134 23 4 0
178567 10314 207 81 9 0
178629 0 222 16 9 0
181962 3499 240 20 9 0
205794 2708 292 55 16 0
98166 6963 94 131 2 0
118592 3101 135 45 7 0
120192 1373 159 25 7 0
120192 0 168 9 7 0
1130182 11058 796 468 4 0
65929 11431 71 530 0 0
244719 2673 233 141 21 0
419181 8904 418 191 24 0
156814 14826 119 302 0 0
137658 23044 151 433 7 0
201319 4828 219 87 9 0
14354 5721 37 124 2 0
47145 4336 98 83 11 0
16154 9610 40 135 0 0
15751 15208 45 197 4 0
25253 20863 75 281 6 0
238981 5711 255 112 9 0
50436 34589 99 213 7 0
67362 42120 72 288 3 0
60707 53634 98 391 9 0
33783 62613 58 461 5 0
312458 11858 257 165 7 0
365064 11188 340 106 19 0
401011 19871 415 78 29 0
462222 14312 508 107 35 0
30253 22399 64 179 6 0
8838 32366 40 229 1 0
19036 12893 86 54 1 0
21413 2773 107 24 2 0
14250 9971 55 88 4 0
14739 21358 67 157 1 0
21514 23940 35 195 4 0
4281 26427 40 232 0 0
6282 3915 78 70 11 0
159842 5020 228 106 20 0
180522 8180 276 68 28 0
218475 13394 344 97 33 0
25364 25488 87 186 0 0
29098 7030 120 42 4 0
73856 2760 170 58 4 0
17409 9536 28 89 0 0
89053 16714 89 176 1 0
90067 4161 100 33 2 0
160950 6902 149 104 7 0
565 6902 12 118 3 0
32538 924 75 77 11 0
182271 20293 215 136 11 0
219847 8896 307 82 15 0
242436 12015 366 79 20 0
259568 14246 422 61 20 0
4224 15797 26 94 1 0
1786 17582 24 124 2 0
34138 9376 77 66 13 0
47006 8182 119 70 14 0
70267 22904 116 187 13 0
46218 36823 89 291 1 0
48957 3673 114 33 6 0
50070 1300 140 26 6 0
90265 14106 203 62 6 0
96496 18686 76 131 1 0
99961 10738 105 42 5 0
57946 13990 78 123 3 0
138812 21593 115 225 2 0
147579 6580 152 44 2 0
149105 1435 174 26 5 0
111657 11834 113 150 3 0
3458 14584 30 181 0 0
5152 2247 58 39 4 0
19166 10717 113 58 4 0
19557 547 143 29 4 0
32038 16426 190 61 6 0
203149 31333 173 214 0 0
211484 4546 202 43 4 0
81261 10534 73 104 0 0
2357 14937 18 128 0 0
96001 23082 91 209 3 0
177408 31873 149 336 0 0
1834 34511 21 355 0 0
157746 37772 116 435 2 0
206338 48152 178 591 5 0
14613 49490 27 622 0 0
141937 10346 139 78 0 0
119829 16710 109 177 0 0
388283 13259 314 171 0 0
73120 22714 52 224 2 0
206 22751 13 237 0 0
290 338 29 16 0 0
7974 46 59 29 0 0
6408 88 18 48 0 0
11214 1180 54 39 1 0
14567 1814 68 18 3 0
22282 1253 86 25 6 0
25743 1563 99 19 6 0
4173 4728 28 51 6 0
854 7199 29 76 0 0
854 0 35 5 0 0
900 46 47 12 0 0
2078 8111 63 17 0 0
2109 0 80 15 0 0
2186 46 98 18 0 0
2186 0 113 13 0 0
2186 0 124 11 0 0
58306 2264 188 61 0 0
58306 155 216 29 0 0
102819 2218 255 39 0 0
102819 0 262 7 0 0
119111 5422 290 32 1 0
140885 5422 127 129 0 0
31 5422 12 139 0 0
31 0 43 31 0 0
